year,state,quarter,totalRXImputed
2018,IL,1,16027
2018,IL,2,17875
2018,IL,3,18381
2018,IL,4,18089
2018,IN,1,14253
2018,IN,2,13616
2018,IN,3,13194
2018,IN,4,12898
2018,KS,1,4290
2018,KS,2,4120
2018,KS,3,3921
2018,KS,4,3819
2018,KY,1,13306
2018,KY,2,12672
2018,KY,3,12428
2018,KY,4,12262
2018,LA,1,24161
2018,LA,2,24763
2018,LA,3,24854
2018,LA,4,24802
2018,MA,1,19354
2018,MA,2,20153
2018,MA,3,17906
2018,MA,4,19153
2018,MD,1,19405
2018,MD,2,18330
2018,MD,3,17676
2018,MD,4,17165
2018,ME,1,2277
2018,ME,2,2396
2018,ME,3,2173
2018,ME,4,2106
2018,MI,1,22495
2018,MI,2,20659
2018,MI,3,18971
2018,MI,4,17947
2018,MN,1,17619
2018,MN,2,17476
2018,MN,3,16022
2018,MN,4,16024
2018,MO,1,14837
2018,MO,2,14272
2018,MO,3,13447
2018,MO,4,12887
2018,MS,1,2424
2018,MS,2,2274
2018,MS,3,2255
2018,MS,4,2116
2018,MT,1,4592
2018,MT,2,4949
2018,MT,3,4450
2018,MT,4,5092
2018,NC,1,14514
2018,NC,2,11665
2018,NC,3,13229
2018,NC,4,10898
2018,ND,1,1924
2018,ND,2,1856
2018,ND,3,1725
2018,ND,4,1656
2018,NE,1,4024
2018,NE,2,4179
2018,NE,3,3655
2018,NE,4,3412
2018,NH,1,1789
2018,NH,2,1752
2018,NH,3,1717
2018,NH,4,2105
2018,NJ,1,27055
2018,NJ,2,26388
2018,NJ,3,25826
2018,NJ,4,24946
2018,NM,1,8302
2018,NM,2,7349
2018,NM,3,7616
2018,NM,4,6652
2018,NV,1,9664
2018,NV,2,9192
2018,NV,3,8518
2018,NV,4,8190
2018,NY,1,94630
2018,NY,2,88504
2018,NY,3,86752
2018,NY,4,85276
2018,OH,1,36320
2018,OH,2,36951
2018,OH,3,32554
2018,OH,4,31102
2018,OK,1,5914
2018,OK,2,5810
2018,OK,3,5427
2018,OK,4,5348
2018,OR,1,5736
2018,OR,2,5680
2018,OR,3,5372
2018,OR,4,5246
2018,PA,1,46423
2018,PA,2,44681
2018,PA,3,42787
2018,PA,4,41321
2018,RI,1,5168
2018,RI,2,4998
2018,RI,3,4993
2018,RI,4,4804
2018,SC,1,5510
2018,SC,2,3568
2018,SC,3,3361
2018,SC,4,3287
2018,SD,1,1209
2018,SD,2,1181
2018,SD,3,1100
2018,SD,4,1070
2018,TN,1,3127
2018,TN,2,2946
2018,TN,3,2820
2018,TN,4,2565
2018,TX,1,27504
2018,TX,2,26735
2018,TX,3,25573
2018,TX,4,24682
2018,UT,1,5083
2018,UT,2,4980
2018,UT,3,4713
2018,UT,4,4613
2018,VA,1,9812
2018,VA,2,8861
2018,VA,3,8904
2018,VA,4,8731
2018,VT,1,2667
2018,VT,2,2543
2018,VT,3,2313
2018,VT,4,2227
2018,WA,1,17043
2018,WA,2,16219
2018,WA,3,15611
2018,WA,4,15192
2018,WI,1,19391
2018,WI,2,18580
2018,WI,3,17663
2018,WI,4,17549
2018,WV,1,5247
2018,WV,2,4779
2018,WV,3,4478
2018,WV,4,4215
2018,WY,1,627
2018,WY,2,658
2018,WY,3,733
2018,WY,4,735
2019,AK,1,2521
2019,AK,2,2336
2019,AK,3,2166
2019,AK,4,1961
2019,AL,1,3755
2019,AL,2,3614
2019,AL,3,3092
2019,AL,4,3121
2019,AR,1,6525
2019,AR,2,6522
2019,AR,3,6173
2019,AR,4,5919
2019,AZ,1,14333
2019,AZ,2,13631
2019,AZ,3,12901
2019,AZ,4,12413
2019,CA,1,66660
2019,CA,2,64723
2019,CA,3,61586
2019,CA,4,59242
2019,CO,1,13231
2019,CO,2,13548
2019,CO,3,13797
2019,CO,4,12506
2019,CT,1,14480
2019,CT,2,14027
2019,CT,3,13345
2019,CT,4,13022
2019,DC,1,2018
2019,DC,2,2019
2019,DC,3,2009
2019,DC,4,1985
2019,DE,1,3759
2019,DE,2,3820
2019,DE,3,3744
2019,DE,4,3571
2019,FL,1,16246
2019,FL,2,15975
2019,FL,3,14940
2019,FL,4,14357
2019,HI,1,2740
2019,HI,2,2503
2019,HI,3,2485
2019,HI,4,2407
2019,IA,1,5014
2019,IA,2,4866
2019,IA,3,4691
2019,IA,4,4398
2019,ID,1,3055
2019,ID,2,3187
2019,ID,3,3377
2019,ID,4,3009
2019,IL,1,17720
2019,IL,2,17683
2019,IL,3,17784
2019,IL,4,17257
2019,IN,1,12705
2019,IN,2,12593
2019,IN,3,12257
2019,IN,4,12144
2019,KS,1,3643
2019,KS,2,3599
2019,KS,3,3429
2019,KS,4,3382
2019,KY,1,11629
2019,KY,2,10988
2019,KY,3,10800
2019,KY,4,10295
2019,LA,1,24501
2019,LA,2,22941
2019,LA,3,22944
2019,LA,4,22092
2019,MA,1,17571
2019,MA,2,19364
2019,MA,3,17158
2019,MA,4,17235
2019,MD,1,17270
2019,MD,2,16384
2019,MD,3,14652
2019,MD,4,15692
2019,ME,1,2060
2019,ME,2,2260
2019,ME,3,2302
2019,ME,4,2261
2019,MI,1,17681
2019,MI,2,16352
2019,MI,3,15454
2019,MI,4,14907
2019,MN,1,15053
2019,MN,2,15293
2019,MN,3,14425
2019,MN,4,14238
2019,MO,1,12443
2019,MO,2,11846
2019,MO,3,12136
2019,MO,4,10873
2019,MS,1,2133
2019,MS,2,2022
2019,MS,3,2025
2019,MS,4,1935
2019,MT,1,4585
2019,MT,2,4398
2019,MT,3,4557
2019,MT,4,4163
2019,NC,1,12332
2019,NC,2,9948
2019,NC,3,11264
2019,NC,4,10625
2019,ND,1,1557
2019,ND,2,1431
2019,ND,3,1433
2019,ND,4,1474
2019,NE,1,2847
2019,NE,2,2641
2019,NE,3,2728
2019,NE,4,2510
2019,NH,1,2728
2019,NH,2,2550
2019,NH,3,2326
2019,NH,4,2098
2019,NJ,1,24061
2019,NJ,2,24025
2019,NJ,3,23692
2019,NJ,4,22903
2019,NM,1,6852
2019,NM,2,4827
2019,NM,3,6303
2019,NM,4,5300
2019,NV,1,7841
2019,NV,2,7141
2019,NV,3,7419
2019,NV,4,7138
2019,NY,1,86168
2019,NY,2,80052
2019,NY,3,78234
2019,NY,4,75601
2019,OH,1,29967
2019,OH,2,28743
2019,OH,3,27667
2019,OH,4,26767
2019,OK,1,5088
2019,OK,2,4927
2019,OK,3,4540
2019,OK,4,4579
2019,OR,1,5020
2019,OR,2,4720
2019,OR,3,4387
2019,OR,4,4366
2019,PA,1,38184
2019,PA,2,35610
2019,PA,3,33417
2019,PA,4,33378
2019,RI,1,4596
2019,RI,2,4565
2019,RI,3,4217
2019,RI,4,3769
2019,SC,1,2506
2019,SC,2,2171
2019,SC,3,3644
2019,SC,4,3906
2019,SD,1,1033
2019,SD,2,867
2019,SD,3,792
2019,SD,4,782
2019,TN,1,2455
2019,TN,2,2181
2019,TN,3,2049
2019,TN,4,2017
2019,TX,1,23812
2019,TX,2,23234
2019,TX,3,22657
2019,TX,4,20391
2019,UT,1,4425
2019,UT,2,4878
2019,UT,3,5003
2019,UT,4,4930
2019,VA,1,11036
2019,VA,2,11842
2019,VA,3,12039
2019,VA,4,12055
2019,VT,1,2165
2019,VT,2,2109
2019,VT,3,2013
2019,VT,4,1995
2019,WA,1,14401
2019,WA,2,13907
2019,WA,3,13867
2019,WA,4,13064
