year,gennme,prodnme,state,quarter,totalRXImputed
2017,Zolpidem Tartrate,AMBIEN CR,CA,3,94
2017,Zolpidem Tartrate,EDLUAR,CA,3,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CA,3,77266
2017,Eszopiclone,ESZOPICLONE,CA,4,2574
2017,Eszopiclone,LUNESTA,CA,4,30
2017,Zaleplon,SONATA,CA,4,10
2017,Zaleplon,ZALEPLON,CA,4,910
2017,Zolpidem Tartrate,AMBIEN,CA,4,73
2017,Zolpidem Tartrate,AMBIEN CR,CA,4,95
2017,Zolpidem Tartrate,EDLUAR,CA,4,10
2017,Zolpidem Tartrate,INTERMEZZO,CA,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CA,4,81249
2017,Eszopiclone,ESZOPICLONE,CO,1,3076
2017,Eszopiclone,LUNESTA,CO,1,10
2017,Zaleplon,ZALEPLON,CO,1,538
2017,Zolpidem Tartrate,AMBIEN,CO,1,10
2017,Zolpidem Tartrate,AMBIEN CR,CO,1,10
2017,Zolpidem Tartrate,EDLUAR,CO,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CO,1,15923
2017,Eszopiclone,ESZOPICLONE,CO,2,2952
2017,Eszopiclone,LUNESTA,CO,2,10
2017,Zaleplon,ZALEPLON,CO,2,504
2017,Zolpidem Tartrate,AMBIEN,CO,2,20
2017,Zolpidem Tartrate,AMBIEN CR,CO,2,10
2017,Zolpidem Tartrate,EDLUAR,CO,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CO,2,15539
2017,Eszopiclone,ESZOPICLONE,CO,3,2897
2017,Eszopiclone,LUNESTA,CO,3,10
2017,Zaleplon,ZALEPLON,CO,3,513
2017,Zolpidem Tartrate,AMBIEN,CO,3,20
2017,Zolpidem Tartrate,AMBIEN CR,CO,3,20
2017,Zolpidem Tartrate,EDLUAR,CO,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CO,3,15209
2017,Eszopiclone,ESZOPICLONE,CO,4,2852
2017,Eszopiclone,LUNESTA,CO,4,10
2017,Zaleplon,ZALEPLON,CO,4,484
2017,Zolpidem Tartrate,AMBIEN,CO,4,20
2017,Zolpidem Tartrate,AMBIEN CR,CO,4,10
2017,Zolpidem Tartrate,EDLUAR,CO,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CO,4,14267
2017,Eszopiclone,ESZOPICLONE,CT,1,981
2017,Eszopiclone,LUNESTA,CT,1,75
2017,Zaleplon,ZALEPLON,CT,1,163
2017,Zolpidem Tartrate,AMBIEN,CT,1,71
2017,Zolpidem Tartrate,AMBIEN CR,CT,1,43
2017,Zolpidem Tartrate,EDLUAR,CT,1,10
2017,Zolpidem Tartrate,INTERMEZZO,CT,1,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CT,1,15990
2017,Eszopiclone,ESZOPICLONE,CT,2,1025
2017,Eszopiclone,LUNESTA,CT,2,54
2017,Zaleplon,ZALEPLON,CT,2,169
2017,Zolpidem Tartrate,AMBIEN,CT,2,66
2017,Zolpidem Tartrate,AMBIEN CR,CT,2,43
2017,Zolpidem Tartrate,INTERMEZZO,CT,2,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CT,2,15429
2017,Eszopiclone,ESZOPICLONE,CT,3,928
2017,Eszopiclone,LUNESTA,CT,3,53
2017,Zaleplon,ZALEPLON,CT,3,148
2017,Zolpidem Tartrate,AMBIEN,CT,3,59
2017,Zolpidem Tartrate,AMBIEN CR,CT,3,45
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CT,3,15044
2017,Eszopiclone,ESZOPICLONE,CT,4,962
2017,Eszopiclone,LUNESTA,CT,4,52
2017,Zaleplon,ZALEPLON,CT,4,154
2017,Zolpidem Tartrate,AMBIEN,CT,4,60
2017,Zolpidem Tartrate,AMBIEN CR,CT,4,39
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,CT,4,14670
2017,Zolpidem Tartrate,ZOLPIMIST,CT,4,10
2017,Eszopiclone,ESZOPICLONE,DC,1,190
2017,Zaleplon,ZALEPLON,DC,1,50
2017,Zolpidem Tartrate,AMBIEN CR,DC,1,20
2017,Zolpidem Tartrate,EDLUAR,DC,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DC,1,2377
2017,Eszopiclone,ESZOPICLONE,DC,2,200
2017,Zaleplon,ZALEPLON,DC,2,50
2017,Zolpidem Tartrate,AMBIEN CR,DC,2,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DC,2,2273
2017,Eszopiclone,ESZOPICLONE,DC,3,120
2017,Zaleplon,ZALEPLON,DC,3,40
2017,Zolpidem Tartrate,AMBIEN CR,DC,3,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DC,3,2083
2017,Eszopiclone,ESZOPICLONE,DC,4,140
2017,Zaleplon,ZALEPLON,DC,4,60
2017,Zolpidem Tartrate,AMBIEN CR,DC,4,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DC,4,2111
2017,Eszopiclone,ESZOPICLONE,DE,1,224
2017,Eszopiclone,LUNESTA,DE,1,20
2017,Zaleplon,ZALEPLON,DE,1,82
2017,Zolpidem Tartrate,AMBIEN CR,DE,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DE,1,4179
2017,Eszopiclone,ESZOPICLONE,DE,2,231
2017,Eszopiclone,LUNESTA,DE,2,10
2017,Zaleplon,ZALEPLON,DE,2,27
2017,Zolpidem Tartrate,AMBIEN CR,DE,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DE,2,4541
2017,Eszopiclone,ESZOPICLONE,DE,3,236
2017,Eszopiclone,LUNESTA,DE,3,10
2017,Zaleplon,ZALEPLON,DE,3,44
2017,Zolpidem Tartrate,AMBIEN CR,DE,3,10
2017,Zolpidem Tartrate,INTERMEZZO,DE,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DE,3,4078
2017,Eszopiclone,ESZOPICLONE,DE,4,218
2017,Eszopiclone,LUNESTA,DE,4,10
2017,Zaleplon,ZALEPLON,DE,4,20
2017,Zolpidem Tartrate,AMBIEN CR,DE,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,DE,4,3927
2017,Eszopiclone,ESZOPICLONE,FL,1,221
2017,Eszopiclone,LUNESTA,FL,1,10
2017,Zaleplon,ZALEPLON,FL,1,40
2017,Zolpidem Tartrate,AMBIEN,FL,1,14
2017,Zolpidem Tartrate,EDLUAR,FL,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,FL,1,24935
2017,Eszopiclone,ESZOPICLONE,FL,2,265
2017,Eszopiclone,LUNESTA,FL,2,20
2017,Zaleplon,ZALEPLON,FL,2,42
2017,Zolpidem Tartrate,AMBIEN,FL,2,10
